Sample,Bacteroides vulgatus,Faecalibacterium prausnitzii,Bacteroides uniformis,Bacteroides dorei,Bacteroides ovatus,Bacteroides fragilis,Escherichia coli,Parabacteroides distasonis,Bacteroides thetaiotaomicron,Bacteroides sp. A1C1,Blautia sp. SC05B48,Anaerostipes hadrus,Roseburia intestinalis,Collinsella aerofaciens,Bifidobacterium adolescentis,[Eubacterium] eligens,Alistipes sp. 3BBH6,Akkermansia muciniphila,Bacteroides sp. PHL 2737,Bacteroides cellulosilyticus,Bacteroides xylanisolvens,Bifidobacterium longum,Anaerobutyricum hallii,Bacteroides caccae,[Ruminococcus] gnavus,Ruminococcus bicirculans,Megamonas funiformis,Roseburia hominis,Alistipes shahii,Bifidobacterium pseudocatenulatum,Odoribacter splanchnicus,Dysosmobacter welbionis,Longibaculum sp. KGMB06250,Ruthenibacterium lactatiformans,Parabacteroides sp. CT06,Streptococcus salivarius,[Clostridium] bolteae,Flavonifractor plautii,Bacteroides intestinalis,Phascolarctobacterium faecium,Klebsiella pneumoniae,Alistipes finegoldii,Oscillibacter sp. PEA192,Alistipes sp. 5CBH24,Paraprevotella xylaniphila,Clostridioides difficile,Bacteroides caecimuris,Butyricimonas faecalis,Bacteroides salanitronis,Faecalitalea cylindroides,Intestinimonas butyriciproducens,Prevotella intermedia,Bifidobacterium bifidum,Acidaminococcus intestini,Fusobacterium mortiferum,Megasphaera elsdenii,[Clostridium] clostridioforme,Eggerthella lenta,Haemophilus parainfluenzae,Blautia hansenii,Bifidobacterium catenulatum,Alistipes sp. Marseille-P5997,Streptococcus thermophilus,Mordavella sp. Marseille-P3756,Alistipes sp. 5CPEGH6,Adlercreutzia equolifaciens,[Clostridium] innocuum,Blautia producta,[Clostridium] scindens,Dialister sp. 5BBH33,Prevotella melaninogenica,Dialister sp. Marseille-P5638,Blautia sp. YL58,Alistipes indistinctus,Prevotella ruminicola,Christensenella minuta,Bacteroides helcogenes,Blautia sp. N6H1-15,Erysipelatoclostridium ramosum,Klebsiella variicola,Streptococcus parasanguinis,Klebsiella quasipneumoniae,Ruminococcus sp. JE7A12,Prevotella oris,Enterococcus faecium,Lachnoclostridium phocaeense,Streptococcus pasteurianus,Prevotella dentalis,Salmonella enterica,Bacteroides heparinolyticus,Bifidobacterium breve,Lachnoclostridium sp. YL32,Desulfovibrio piger,Veillonella parvula,Romboutsia ilealis,Prevotella denticola,Porphyromonas asaccharolytica,Streptococcus sp. HSISM1,Prevotella fusca,Parvimonas micra,Clostridium sp. SY8519,Ruminococcus champanellensis,Bacteroides zoogleoformans,Monoglobus pectinilyticus,Enterococcus faecalis,Barnesiella viscericola,Raoultella ornithinolytica,Klebsiella aerogenes,Lactobacillus salivarius,Oscillibacter valericigenes,Prevotella scopos,Veillonella atypica,Streptococcus agalactiae,[Clostridium] saccharolyticum,Veillonella dispar,Prevotella jejuni,Acidaminococcus fermentans,Enterobacter hormaechei,Pseudobutyrivibrio xylanivorans,Lactobacillus ruminis,Lactococcus lactis,Citrobacter freundii,Pseudomonas aeruginosa,Streptococcus sp. HSISS1,Prevotella enoeca,Klebsiella oxytoca,Hungatella hathewayi,Lactobacillus paragasseri,Anaerostipes rhamnosivorans,Raoultella planticola,Cloacibacillus porcorum,Gordonibacter pamelaeae,Bifidobacterium dentium,Turicibacter sp. H121,[Clostridium] hylemonae,Fusobacterium varium,Streptococcus sp. FDAARGOS 192,Acutalibacter muris,Campylobacter coli,Clostridium perfringens,Prevotella sp. oral taxon 299,Eubacterium maltosivorans,Citrobacter braakii,Butyrivibrio fibrisolvens,Anaerostipes caccae,Streptococcus oralis,Olsenella sp. GAM18,Streptococcus anginosus,Eubacterium limosum,Christensenella sp. Marseille-P3954
MMRS44587603ST,12.29806,17.74666,8.410343,6.336817,1.269011,0.689749,0.04875978,2.21476,0.807296,1.946491,1.035243,0.4698607,0.756022,1.292862,0.03053191,2.013039,0.3175112,0.082907988,0.5795035,0.2721696,1.219365,0.02667452,0.4535529,0.1868508,0.2147307,1.838467,0.002626123,1.963358,3.13429,0.007637282,0.7728292,1.216394,0.1585059,0.5660371,0.4735976,3.95389,0.3133094,0.5637554,0.1201387,0.0456601,2.715471,0.4698693,1.328844,0.696155,0.5893708,0.5228223,0.2300828,0.7094578,0.09668437,0.2417324,0.6132298,0.1884609,0.006406018,0.01047005,0.000533835,0.01156355,0.334723,0.05232442,0.053702058,0.09027835,0.007628671,0.4325267,0.04654695,0.30934,0.1126047,0.02207665,0.1383149,0.1287317,0.1338203,0.003848777,0.2068007,0.002273103,0.1638098,0.2144983,0.1628627,0.0709742,0.06161487,0.09329194,0.002143949,0.008713561,0.6829555,0.01071114,0.04387778,0.1329937,0.02138783,0.09725265,0.07648475,0.1281806,0.010427,0.07092254,0.02381592,0.04514348,0.985596793,0.08206418,0.001248485,0.1223084,0.006027167,0.5588303,0.09770038,0.002583072,0.05967756,0.1601246,0.06957934,0.02211109,0.001885642,0.0594537,0.000869634,0.002238662,0.001687607,0.1465893,0.06839974,0.05234164,0.1400111,0.04295648,0.02641621,0.0602975,0.01232986,0.00326328,0.03524171,0.004296509,0.005355568,0.002212831,0.01558453,0.2294456,0.05433061,0.003797115,0.03822085,0.04117416,0.02100898,0.000318579,0.013845264,0.02952451,0.08531024,0.005433061,0.02724279,0.000602717,0.1981474,0.08529302,0.02056125,0.005148923,0.03697236,0.03246921,0.000129154,0.02919732,0.01659193,0.05980672,0.01158077,0.02217136,0.02150838,0.04621115
MMRS51410669ST,9.050085,29.10425,4.676162,2.827062,0.9286893,3.637064,0.1324612,1.536998,3.678422,1.202726,2.16863,0.9158241,2.284963,1.490385,0.6741827,4.013594,0.3773588,0.0488298,1.102014,1.942704,0.672947,0.7211154,0.6783185,2.008091,0.3301935,0.1473762,0.00320541,1.358505,0.5000294,0.009478127,1.046824,1.36988,0.4419104,0.5893229,0.5959518,0.03634978,0.3629309,0.4781221,0.217132,0.02133305,0.01049572,0.2033872,0.7316111,0.1215076,0.7226927,0.6555971,0.4069998,0.8085119,0.8054809,0.7243281,0.6072107,0.03872658,0.006832392,0.007639196,0.001330136,0.008816694,0.2434222,0.01144062,0.006548921,0.1101105,0.01500219,0.130426,0.003990408,0.1763629,0.05347437,0.07784566,0.126014,0.1471145,0.282941,0.003103651,0.01737899,0.003074577,0.1451157,0.1020788,0.03092021,0.1144426,0.140929,0.1098852,0.007871788,0.002093329,0.01411543,0.001453701,0.05620006,0.01446432,0.05967441,0.1461405,0.02295393,0.02346999,0.01449339,0.1206862,0.03571015,0.07631928,1.112887695,0.004499203,0.0101759,0.01937056,0.00771915,0.00980521,0.01644135,0.008060769,0.09901881,0.09452688,0.1086859,0.07517085,0.00558221,0.2378617,0.001104812,0.000959442,0.004390176,0.1330063,0.00893299,0.002049718,0.06212389,0.1270752,0.001998838,0.010016,0.00786452,0.0032999,0.06551101,0.00723216,0.1022751,0.003794158,0.1498329,0.00164995,0.01139701,0.003016429,0.1469328,0.000559675,0.02541068,0.000654165,0.041379585,0.0120003,0.002042449,0.005836608,0.03676409,0.002311384,0.000814072,0.08930809,0.030455026,0.01825121,0.01157146,0.04201194,0.000348888,0.04388722,0.02036634,0.00441925,0.01586714,0.002849253,0.02775841,0.04184477
MMRS54316675ST,7.920494,13.44674,1.71581,1.302166,1.163283,2.590402,6.580271,1.469104,1.229064,0.4833045,0.6291847,0.4360091,1.546785,1.693161,2.375567,1.728101,0.3739227,0.033957547,1.128928,0.2176514,0.6441056,0.145726,0.9965643,1.622234,0.4385581,7.117666,0.003084836,1.344428,1.900843,0.01223381,3.319226,1.961688,0.1218185,0.7893202,4.717647,0.3118119,0.1953432,0.4242299,0.2211097,0.03894199,0.008978496,0.3424979,0.947694,0.4154462,1.233114,0.4353596,0.1996051,0.3032394,0.4305862,0.2253716,0.6036618,0.204825,0.02869709,0.6009422,0.002086323,0.4718906,0.1784496,0.01526182,0.005057507,0.1232717,0.04028958,0.2707755,0.008702484,0.2534761,0.4353353,0.04283863,0.1530972,0.1542743,0.1306347,0.002532813,0.2766692,0.002378571,0.1510514,0.8973625,0.1992966,0.1244569,0.08616433,0.1133434,0.008450826,0.001306996,0.02840484,0.005982958,0.02206469,0.1822813,0.06889737,0.1240591,0.04762012,0.1480721,0.05145993,0.08160202,0.03045058,0.09898264,0.034809936,0.01276148,0.01272901,0.1063538,5.947531,0.02066028,0.1258694,0.02803142,0.09562179,0.07525376,0.06905973,0.02566096,0.009668525,0.1308782,0.002037615,0.001997025,0.003661213,0.1667678,0.0884942,0.001980789,0.08399683,0.03854421,0.003117308,0.07733196,0.0125017,0.02381818,0.05608718,0.1904318,0.01787581,0.01932081,0.01425519,0.01991343,0.06832911,0.002800706,0.04130433,0.000495197,0.05006364,9.74e-05,0.00601543,0.01258288,0.003628741,0.04119068,0.060203,0.002524695,0.01693412,0.06534981,0.022941436,0.02182927,0.05702887,0.0435043,0.000957923,0.03689626,0.01774592,0.308857,0.01150319,0.01026114,0.03049928,0.06057643
MMRS55294627ST,17.90864,6.67673,11.02376,2.801907,5.742485,2.602774,0.09395457,3.415087,3.447069,2.927883,0.4286362,0.365741,0.3930761,0.006928362,3.062202,0.2526527,0.8707469,0.007590458,8.899764,2.788768,1.37591,0.6423277,0.2155871,2.193461,0.1588439,0.01364785,0.000776386,0.2663242,0.8808675,0.1107907,1.804543,0.6454924,0.06278877,0.6266463,0.190727,0.0124143,0.2750812,0.409597,0.5607283,1.110713,0.2907784,6.064937,0.3792785,0.1856706,0.08299452,0.1953065,0.7332004,0.3711521,0.07083639,0.07438727,0.3486251,0.02014269,0.008760949,1.970331,0.000200993,0.002762674,0.2178099,0.04035239,0.006727368,0.03355802,0.03900455,0.03676603,0.000890677,0.07504543,0.06174045,0.04926704,0.07779628,0.07136449,0.08668334,0.000843384,0.04123912,0.000768504,0.07033588,0.06568938,0.001470011,0.07231034,0.08929232,0.04078984,0.02433597,0.000914323,0.003795229,0.002337041,0.009533394,0.001749825,0.02521482,0.07213299,0.01291481,0.003077958,0.004059279,0.08246642,0.03544578,0.03767247,0.461248388,0.001174432,0.00169465,0.002920316,0.001150786,0.003251364,0.005178537,0.00274691,0.01185073,0.01746278,0.03632858,0.008717597,0.00289667,0.02793415,0.000457162,0.00041381,0.000740917,0.02631043,0.003893755,0.000997085,0.006640665,0.01568931,0.001911408,0.006888951,0.002214869,0.001276899,0.01315128,0.002266102,0.003472063,0.000867031,0.05194695,0.000725153,0.002041463,0.000614803,0.01843228,1.18e-05,0.02328765,9.85e-05,0.001485775,0.01557502,0.00154095,0.007960916,0.06699387,0.000275873,0.000693624,0.01715932,0.085410384,0.00187988,0.002660207,0.01344685,4.73e-05,0.01017184,0.01179161,0.01698986,0.00176953,0.001410895,0.01672975,0.02444238
MMRS62376181ST,29.68159,4.097081,6.429271,4.645384,3.323814,1.805461,0.03655233,2.70851,7.861284,2.442842,1.015571,1.587407,3.928151,0.6877827,0.002564618,8.479157,0.2858767,0.035522132,0.5001266,0.433403,2.256946,0.1800883,1.129536,0.1956151,1.105776,0.01688301,0.001012807,0.2382139,0.7053047,0.001638747,0.4719201,0.3109012,0.06563683,0.2572529,0.490807,0.7665643,0.5982037,0.6129306,0.1675174,0.010967,0.006854919,0.3323571,0.2535886,0.2036307,0.1154904,0.2796825,0.3764164,0.1458268,0.1511951,0.1062925,0.03394424,0.0237162,0.001338818,0.004281608,0.000412947,0.004598925,0.1996142,0.01709166,0.079959571,1.128988,0.001530077,0.1255315,0.01721771,0.3527262,0.04218144,0.04597621,0.1204936,0.3362214,0.2311764,0.000399907,0.008571909,0.001156251,0.4293518,0.0576474,0.0106975,0.2775916,0.2232522,0.3897263,0.1236189,0.000321664,0.1373635,0.001482262,0.01120608,0.0062681,0.05385263,0.06227675,0.03397032,0.02051694,0.006437626,0.1433621,0.04977098,0.06579332,0.317134569,0.01494868,0.003090582,0.01996925,0.002886282,0.1070793,0.005794298,0.002603739,0.1773846,0.007702547,0.1286612,0.007902501,0.0008172,0.06374162,0.000704183,0.000365132,0.005503062,0.008537135,0.005403085,0.007854686,0.09151339,0.03370082,0.007646039,0.004103389,0.003864314,0.004490255,0.02121678,0.004038187,0.002938444,0.002247301,0.005685628,0.05134017,0.007950316,0.001356205,0.05047516,0.001725684,0.01640051,9.13e-05,0.003773031,0.006750596,0.001273615,0.001947371,0.02277728,0.001277962,0.04506338,0.01241884,0.004190325,0.007241786,0.003268801,0.03852143,0.000352092,0.01364464,0.01529642,0.06333737,0.006046413,0.021934,0.008910961,0.006189858
MMRS65205033ST,10.84178,10.48688,5.48462,2.204449,2.359587,2.565196,0.5710355,0.8275372,1.044198,1.783367,0.7080348,0.8226898,2.984701,1.211838,0.707141,1.355472,0.9334859,0.331357679,0.7448056,0.1590071,1.641573,0.685354,0.6826202,9.263725,0.2371227,3.680633,0.003438389,0.5546427,0.1103439,0.02504662,0.658257,1.015092,0.09647468,0.2314341,0.03959931,1.609766,0.186041,0.2972261,0.09604357,0.04182848,0.00437422,0.3236292,0.3233137,0.08304709,0.09480281,0.315375,0.09074403,0.8184944,0.1126887,0.08900907,0.2856387,1.681099,0.008201662,0.009820965,0.000841196,0.03156589,0.1119422,0.008927194,0.655249742,0.0886095,0.02771741,0.8010396,0.2979832,0.07076563,0.05920969,0.008906164,0.05670714,0.1116478,0.08573892,0.004237526,0.2763855,0.00229226,0.1420044,1.312382,0.3806728,0.1879232,0.08259495,0.06065024,0.005289021,0.002281745,1.086047,0.001377459,0.02672901,0.2224228,0.0310822,0.07168043,0.04079801,0.401219,0.009158523,0.2023602,0.02929466,0.05004066,0.222864405,1.179683,0.002744402,0.4608283,0.0363607,0.890995,0.2302144,0.2722216,0.05634963,0.08058659,0.08060762,0.01488917,0.002334319,0.04974624,0.004058771,0.001261794,0.002197625,0.09179553,0.1056122,0.5025832,0.1464733,0.06653862,0.4716692,0.1200597,0.3171625,0.008906164,0.04885247,0.013007,0.006771629,0.005026147,0.01261794,0.2425063,0.3511889,0.001766512,0.04101883,0.005278506,0.01547801,0.000115665,0.011482327,0.01209219,0.2067134,0.003522509,0.02394255,0.001503638,0.1815512,0.02915796,0.01412158,0.008779985,0.2196468,0.01905309,0.000578322,0.03089293,0.01623509,0.795046,0.02155565,1.398773,0.01394283,0.01703422
MMRS65945127ST,0.03035348,0.2762449,0.01022616,0.01879273,0.08340816,0.2593934,4.830277,0.009086546,0.0046711,0.001412596,0.7902305,0.139964,0.7975751,0.006460677,0.00033365,0.1931443,0.04390314,2.576094187,0.000645634,0.00486609,0.01452461,0.002942186,0.3875713,0.002573871,4.194032,0.5523944,0.000662967,0.533944,0.3438718,0.003631152,0.002231555,0.4878136,0.01952936,0.0899555,0.02392314,0.09624285,16.32188,1.687385,0.001980234,0.002084229,0.01096279,0.04996517,0.7892642,0.06852391,0.004558439,0.2633452,0.001031282,0.04438845,0.01831175,0.06269586,0.01249238,0.000927287,0.00027732,0.002114561,0.000320651,0.002617202,24.96207,0.5789477,0.001733247,0.7305115,0.001741913,0.08508508,0.003193507,0.2557275,26.24559,0.000645634,0.6793157,0.7300045,0.2615773,0.01340233,0.000740963,0.007613286,0.2120194,0.006859324,0.001252271,0.5334327,0.000749629,0.9625325,0.6155322,0.00019499,0.006919987,0.003843474,0.00653434,0.000285986,0.0494192,0.1305741,0.03343866,0.000368315,0.01880139,0.000311984,0.005377398,2.974069,0.000554639,0.01414329,0.000641301,0.001412596,0.000151659,0.006560339,0.000294652,0.002595537,0.1599527,0.009558855,0.000316318,0.04859157,0.002946519,0.05940703,0.002144893,0.04837925,0.001958569,0.004489109,0.000407313,0.01844608,0.01289536,0.1118507,0.009355199,0.000433312,0.002890189,0.004697098,0.02962985,0.03411029,0.005039415,0.02580804,0.001520924,0.002435212,0.000164658,0.00045931,0.08901955,7.8e-05,0.03841741,5.63e-05,0.001637918,0.009177541,0.000554639,0.0227272,0.04393347,0.000615303,0.002894522,0.01604553,0.001464593,0.002920521,5.63e-05,0.02295252,0.000177658,0.02066897,0.8089625,0.001746246,0.000155992,0.001360599,0.03598653,0.008765895
MMRS67247116ST,16.94329,15.73497,3.450321,4.61447,11.41904,3.276813,0.1908063,1.663554,0.7239826,2.966694,0.7103775,1.163056,4.81572,0.6379123,1.030291,2.546677,0.397867,0.018532638,1.725644,3.298261,2.164585,0.2838848,0.7610478,0.9257811,0.3120588,0.05327528,0.001669389,1.186109,0.6043148,0.03272244,0.9765603,0.7598583,0.4468761,0.2177061,0.3010505,0.04966634,0.3537613,0.2963851,0.7050064,0.02141979,0.02173835,0.1906692,0.5584711,0.5687979,0.126797,0.5424708,0.5438579,0.1728543,0.4961069,0.1881732,0.1164177,0.02700055,0.004588804,1.739189,0.000435493,0.003879112,0.2804251,0.004036373,0.016798731,0.08410253,0.01933507,0.06585216,0.002689571,0.3811207,0.05548501,0.02998449,0.2860905,0.1127442,0.1315309,0.00068953,0.01739552,0.00151616,0.1743584,0.01767778,0.01318575,0.06230773,0.5082564,0.1021432,0.004189602,0.000766145,0.004608965,0.000995988,0.02125044,0.01279462,0.05930767,0.112966,0.04370654,0.009318739,0.01742374,0.2946068,0.07246519,0.05864233,0.0020323,0.004584771,0.007072726,0.01155266,0.00241134,0.00239521,0.005911411,0.001887135,0.06379566,0.02767799,0.2142544,0.04514205,0.001879071,0.06489246,0.001056473,0.000411299,0.001955685,0.02383517,0.007334828,0.008564692,0.03961775,0.02607715,0.005540436,0.006826753,0.004322669,0.002338758,0.04556142,0.002862962,0.006834817,0.004080729,0.01200831,0.002923447,0.008225975,0.001661324,0.03551686,0.000116938,0.03569025,9.68e-05,0.006113028,0.004354928,0.001366963,0.004657353,0.01700035,0.001201638,0.001923426,0.03160549,0.024532761,0.009601003,0.006927561,0.02812961,8.87e-05,0.02564569,0.0120567,0.001931491,0.002737959,0.001947621,0.009129219,0.02076252
MMRS71762412ST,6.666875,2.545456,3.198542,0.9129159,1.806055,2.780099,0.6997613,3.347345,3.987715,1.057589,0.3125478,0.1884422,1.026169,0.02589079,0.001848263,0.4521042,9.257802,2.571663615,0.09181383,38.71939,3.885547,0.01149247,0.2618137,0.7263118,0.1346663,0.03719188,0.001087806,0.4844765,0.4514797,0.004018838,0.3375925,0.830988,0.1190644,0.2362805,0.4078365,0.01331555,2.713426,0.207222,2.231941,0.005343342,0.003510188,0.4189563,0.7694262,0.1117368,0.02021506,0.4156174,0.4147814,0.3790852,0.0180193,0.09655788,0.3411732,0.005791559,0.001289251,0.003313779,0.000614409,0.00256843,0.1372448,0.02509004,0.001102914,0.08196818,0.03334427,0.03938764,0.005615294,0.06650724,0.02183669,0.03350039,0.07145776,0.07716371,0.09123468,0.000493542,0.001792865,0.000790674,0.0600358,0.3228064,0.00159142,0.124871,0.03922144,0.04924336,0.01159319,0.000276988,0.001505805,0.001112987,0.012681,0.000941758,0.02654548,0.05776954,0.01854306,0.001178456,0.01670991,0.02469218,0.007085846,0.05162042,0.003067008,0.000846071,0.003434646,0.001002191,0.00152595,0.000896433,0.000674843,0.003253345,0.03000027,0.06229199,0.01638256,0.1018106,0.002180648,0.0370559,0.000548939,0.00044318,0.001873443,0.05773429,0.000458289,0.000614409,0.03781636,0.03373709,0.000684915,0.000654698,0.002981394,0.004819584,0.02081939,0.001374866,0.002130286,0.005101608,0.01080252,0.000261879,0.000654698,0.000538867,0.03016143,4.53e-05,0.05461692,0.001213709,0.037055904,0.006592305,0.000357566,0.003117369,0.01140685,0.000735276,0.000755421,0.02819734,0.007952062,0.005418885,0.000881324,0.02815705,5.54e-05,0.01203637,0.0128623,0.001772721,0.00380732,0.001087806,0.01275654,0.02782466
MMRS72802364ST,27.9732,7.482703,5.357003,4.024518,13.08774,5.147358,0.3911772,1.645984,2.348462,1.526186,0.8735134,1.493412,0.9161466,0.3480745,0.003214617,0.2393285,0.3968974,5.558982564,0.987994,1.538412,1.286081,0.009902553,0.9401389,0.06658712,1.841003,0.06887712,0.002725957,0.9863124,0.2428688,0.002395392,0.4512584,0.3566692,0.7904268,0.4244923,0.2939865,0.04351949,0.4521208,0.2770367,0.3034866,0.02816023,0.0348338,0.4070874,0.2724424,0.06938973,0.03228989,0.4647014,0.2349545,0.3795787,0.05355619,0.2003698,0.4018031,0.05929555,0.001959431,0.004239845,0.050068494,0.004843484,0.1568503,0.1525817,0.068513016,0.178725,0.001983385,0.01373039,0.003569135,0.3795164,0.01522032,0.03315702,0.333156,0.1468759,0.1848381,0.001877988,0.06298445,0.001346211,0.2227044,0.0451244,0.05194648,0.2089693,0.03047418,0.4216753,0.2366025,0.000824015,0.004465012,0.002524744,0.01306447,0.0512087,0.07302114,0.1408922,0.03897783,0.03454635,0.003813465,0.04254217,0.0145592,0.1319765,0.002433719,0.09813923,0.03482422,0.02296702,0.09126924,0.004249426,0.03393313,0.1775417,0.02976515,0.05097395,0.02032251,0.03276418,0.002793028,0.04790306,0.000560522,0.000709036,0.00219418,0.03785678,0.0190817,0.01019,0.09232322,0.02132857,0.01648988,0.01707436,0.004474593,0.000531777,0.02534804,0.008129962,0.003894908,0.002385811,0.005624382,0.0028074,0.01553172,0.000958157,0.02659365,0.004115284,0.0479318,7.67e-05,0.001671984,0.04914387,0.009045002,0.005883084,0.03882931,0.041842716,0.002107945,0.02790153,0.050135565,0.01602038,0.01037684,0.02739371,9.1e-05,0.02488813,0.02919983,0.003458947,0.002021711,0.005145303,0.02019795,0.01018042
MMRS72980899ST,20.41033,0.4497989,0.2664928,2.708253,0.8739337,7.5507,0.6270414,6.370189,1.397161,0.5933401,0.3145517,0.304259,0.6992791,1.394548,1.232526,0.08814364,2.156243,8.190382021,0.6949659,0.1668447,0.3254418,0.02836991,2.515067,1.588269,2.930373,0.7254861,0.00091733,0.280602,0.4512296,0.003580954,1.184812,0.8765174,0.06354825,0.797627,1.114236,0.0780488,3.500258,2.428547,0.1391607,2.491086,0.004237392,1.030372,0.8062574,0.4414041,0.529674,0.2971771,0.2121936,0.1769774,0.103835,0.09298698,0.2875746,0.02026963,0.004346798,8.639175,0.045601406,0.001540105,0.5874616,0.3835913,0.08343917,0.06286657,0.01327183,0.02829837,0.004675017,0.2898679,0.0806451,0.1309594,0.1928034,0.2055577,0.2083223,0.000332427,0.003841846,0.004430957,0.0787347,0.07913445,0.006017349,0.2147604,0.2687946,0.1551677,2.05179,0.000235644,0.05019226,0.000631191,0.009783452,0.003033922,0.07624781,0.07735029,0.03215705,0.005878487,0.01281737,0.1445973,0.02114067,0.1527649,0.00738072,0.2466398,0.002882436,0.005743833,0.001607432,0.04919078,0.003336894,0.002583673,0.01718942,0.0193523,0.1192992,0.1172037,0.001535897,0.02503722,0.000218813,0.000454457,0.001342332,0.01498446,0.001809413,0.0221632,0.01389461,0.048568,0.04194892,0.003033922,0.002634168,0.002470059,0.009131222,0.003707192,0.002697287,0.00209976,0.003198032,0.02125849,0.002621544,0.000976241,0.08130575,0.000185149,0.02932511,0.000168318,0.030095161,0.02815109,0.00108144,0.001237133,0.03056645,0.004081698,0.01315822,0.01853596,0.006105716,0.005428238,0.002095552,0.02670356,2.1e-05,0.01092801,0.1838868,0.243711,0.002903476,0.005457693,0.01317926,0.02510876
MMRS77018926ST,0.5676261,27.08226,3.684164,7.26018,0.6899398,4.888334,0.02122423,0.574495,1.11059,0.8593296,0.5737555,0.1955694,0.7961982,4.580065,0.007798988,0.1343439,3.315073,0.042867753,0.989793,0.4400901,0.5755089,0.06321526,0.3249502,0.04341666,0.2049922,0.07648802,0.001600965,1.96748,1.615961,0.005885454,0.8634159,3.10681,0.1571233,1.325035,1.006893,0.01895238,0.5325802,0.6627158,0.07234839,6.067613,0.01088656,0.1987179,1.427169,0.1164435,0.4628391,0.6461496,0.1310352,0.2880213,0.07638129,0.6412629,1.728509,0.2042222,0.007067118,0.006655442,0.000236333,0.01420285,0.2800546,0.04324894,0.001669578,0.2554988,0.00686128,0.1931755,0.005527142,0.2134468,1.632924,0.06092054,0.1276198,0.2187224,0.1538451,0.001852546,0.1190585,0.003949048,0.1076764,0.2533718,0.1394746,0.2433086,0.08685618,0.05659794,0.00081573,0.003323909,0.01272386,0.01745815,0.02609573,0.1074476,0.06383278,0.2503529,0.02244401,0.3031771,0.09981638,0.06895586,0.04640512,0.07819572,1.870987199,0.004124392,0.000617515,0.255232,0.06823162,0.00947619,0.0827013,0.005016358,0.05374669,0.1512531,0.08413454,0.02750611,0.007211968,0.1813131,0.001814427,0.003941424,0.002142244,0.3804351,0.04113719,0.002180362,0.03027349,0.03645627,0.001410374,0.03975731,0.01578094,0.007128108,0.05498935,0.002569168,0.009064513,0.01222833,0.06836884,0.000686128,0.07466597,0.00742543,0.04998824,4.57e-05,0.1046193,0.00115117,0.01437057,0.0340167,0.004452208,0.004833391,0.0332086,0.000487913,0.00171532,0.122855,0.039864037,0.004109144,0.03181347,0.05268701,0.0004193,0.03548806,0.01903624,0.002066008,0.04444585,0.001395127,0.03751595,0.09610366
MMRS77321055ST,0.1095248,18.04462,0.2337026,0.5087801,0.1166062,32.18924,0.2733884,6.07444,0.08614387,0.01131214,2.675884,2.172854,4.209002,0.03095787,0.006617844,1.316674,0.1706839,0.044193558,0.06639158,0.0141202,0.01019851,0.8436579,1.363372,0.02632751,0.4761811,8.648275,0.001358736,0.8637725,1.802046,0.003170384,0.1287283,0.5732534,0.5020503,0.5010379,1.908182,0.5431215,0.3863553,0.3979338,0.008615986,0.002387113,0.008807807,0.3657558,0.5875282,0.6948736,0.007987237,0.3469093,0.3340999,0.1235757,0.02628488,0.3187382,0.243347,0.05335304,0.002083395,0.1140806,0.000388972,0.002914622,0.2781306,0.7231567,0.123192075,0.1797848,0.006042379,0.07327584,0.02031177,0.8935422,0.08936221,0.05047039,0.1467915,0.2233229,0.1332467,0.01170112,0.01927807,0.01066208,0.4301066,0.01538302,0.003751177,0.07932888,0.008205701,0.1656006,0.09791425,0.000245105,0.1646255,0.00062342,0.04687906,0.01066208,0.04629294,0.09095539,0.05325713,0.01127485,0.02391376,0.007198637,0.06369009,0.08523805,0.004672987,0.3887904,0.04546171,0.01356605,0.01003333,0.1648547,0.005461586,0.03222602,0.1025659,0.1699486,0.01252701,0.2076468,0.001555886,0.02868798,0.000287732,0.000607435,0.001731723,0.05609182,0.002781413,0.0621342,0.1084538,0.02821376,0.1618867,0.001438662,0.003207683,0.001433333,0.05358749,0.007475713,0.02979628,0.002818711,0.008647956,0.02562949,0.01379517,0.001603841,0.03860409,0.000277076,0.08742801,0.00016518,0.002989219,0.03191165,0.05283086,0.08079951,0.02776617,0.000916481,0.03463445,0.02998278,0.033339655,0.04254709,0.001689095,0.03558823,0.000181165,0.0442202,0.01998141,0.021857,0.004012268,0.0418544,0.02569876,0.01547894
