rownames,labels
sample_355,48.0
sample_356,44.0
sample_357,1.0
sample_358,5.0
sample_359,8.0
sample_360,34.0
sample_361,13.0
sample_362,44.0
sample_363,16.0
sample_364,1.0
sample_365,17.0
sample_366,8.0
sample_367,10.0
sample_368,4.0
sample_369,34.0
sample_370,4.0
sample_371,17.0
sample_372,23.0
sample_373,6.0
sample_374,4.0
sample_375,10.0
sample_376,44.0
sample_377,3.0
sample_378,30.0
sample_379,37.0
sample_380,27.0
sample_381,16.0
sample_382,39.0
sample_383,7.0
sample_384,43.0
sample_385,16.0
sample_386,36.0
sample_387,34.0
sample_388,4.0
sample_389,0.0
sample_390,13.0
sample_391,15.0
sample_392,9.0
sample_393,42.0
sample_394,28.0
sample_395,32.0
sample_396,37.0
sample_397,34.0
sample_398,5.0
sample_399,42.0
sample_400,14.0
sample_401,16.0
sample_402,6.0
sample_403,10.0
sample_404,32.0
sample_405,0.0
sample_406,21.0
sample_407,17.0
sample_408,34.0
sample_409,20.0
sample_410,36.0
sample_411,10.0
sample_412,4.0
sample_413,20.0
sample_414,16.0
sample_415,37.0
sample_416,37.0
sample_417,13.0
sample_418,30.0
sample_419,33.0
sample_420,5.0
sample_421,13.0
sample_422,34.0
sample_423,4.0
sample_424,34.0
sample_425,34.0
sample_426,37.0
sample_427,34.0
sample_428,42.0
sample_429,4.0
sample_430,17.0
sample_431,5.0
sample_432,5.0
sample_433,4.0
sample_434,17.0
sample_435,34.0
sample_436,24.0
sample_437,4.0
sample_438,37.0
sample_439,16.0
sample_440,13.0
sample_441,5.0
sample_442,17.0
sample_443,10.0
sample_444,13.0
sample_445,23.0
sample_446,20.0
sample_447,5.0
sample_448,5.0
sample_449,1.0
sample_450,6.0
sample_451,34.0
sample_452,5.0
sample_453,13.0
sample_454,10.0
sample_455,30.0
sample_456,31.0
sample_457,5.0
sample_458,14.0
sample_459,17.0
sample_460,21.0
sample_461,27.0
sample_462,2.0
sample_463,16.0
sample_464,48.0
sample_465,44.0
sample_466,44.0
sample_467,5.0
sample_468,34.0
sample_469,43.0
sample_470,21.0
sample_471,14.0
sample_472,34.0
sample_473,21.0
sample_474,36.0
sample_475,5.0
sample_476,31.0
sample_477,4.0
sample_478,43.0
sample_479,17.0
sample_480,21.0
sample_481,5.0
sample_482,4.0
sample_483,16.0
sample_484,13.0
sample_485,5.0
sample_486,19.0
sample_487,23.0
sample_488,37.0
sample_489,5.0
sample_490,27.0
sample_491,36.0
sample_492,13.0
sample_493,10.0
sample_494,41.0
sample_495,17.0
sample_496,16.0
sample_497,30.0
sample_498,12.0
sample_499,5.0
sample_500,17.0
sample_501,6.0
sample_502,14.0
sample_503,32.0
sample_504,5.0
sample_505,17.0
sample_506,34.0
sample_507,34.0
sample_508,5.0
sample_509,21.0
sample_510,15.0
sample_511,21.0
sample_512,5.0
sample_513,34.0
sample_514,43.0
sample_515,3.0
sample_516,23.0
sample_517,6.0
sample_518,47.0
sample_519,11.0
sample_520,11.0
sample_521,47.0
sample_522,21.0
sample_523,31.0
sample_524,16.0
sample_525,42.0
sample_526,34.0
sample_527,17.0
sample_528,6.0
sample_529,17.0
sample_530,6.0
sample_531,35.0
sample_532,17.0
sample_533,5.0
sample_534,4.0
sample_535,17.0
sample_536,42.0
sample_537,13.0
sample_538,37.0
sample_539,4.0
sample_540,43.0
sample_541,14.0
sample_542,4.0
sample_543,5.0
sample_544,16.0
sample_545,5.0
sample_546,21.0
sample_547,9.0
sample_548,23.0
sample_549,12.0
sample_550,42.0
sample_551,14.0
sample_552,23.0
sample_553,6.0
sample_554,34.0
sample_555,4.0
sample_556,27.0
sample_557,27.0
sample_558,24.0
sample_559,37.0
sample_560,12.0
sample_561,47.0
sample_562,38.0
sample_563,8.0
sample_564,34.0
sample_565,16.0
sample_566,34.0
sample_567,10.0
sample_568,17.0
sample_569,43.0
sample_570,17.0
sample_571,47.0
sample_572,34.0
sample_573,41.0
sample_574,4.0
sample_575,5.0
sample_576,7.0
sample_577,34.0
sample_578,43.0
sample_579,34.0
sample_580,42.0
sample_581,34.0
sample_582,13.0
sample_583,42.0
sample_584,5.0
sample_585,32.0
sample_586,44.0
sample_587,47.0
sample_588,34.0
sample_589,17.0
sample_590,6.0
sample_591,44.0
sample_592,34.0
sample_593,33.0
sample_594,1.0
sample_595,17.0
sample_596,4.0
sample_597,13.0
sample_598,29.0
sample_599,21.0
sample_600,32.0
sample_601,13.0
sample_602,44.0
sample_603,6.0
sample_604,21.0
sample_605,17.0
sample_606,30.0
sample_607,13.0
sample_608,12.0
sample_609,6.0
sample_610,4.0
sample_611,5.0
sample_612,44.0
sample_613,39.0
sample_614,4.0
sample_615,19.0
sample_616,10.0
sample_617,13.0
sample_618,18.0
sample_619,48.0
sample_620,32.0
sample_621,0.0
sample_622,29.0
sample_623,37.0
sample_624,36.0
sample_625,44.0
sample_626,8.0
sample_627,33.0
sample_628,17.0
sample_629,21.0
sample_630,17.0
sample_631,22.0
sample_632,17.0
sample_633,39.0
sample_634,34.0
sample_635,34.0
sample_636,34.0
sample_637,44.0
sample_638,43.0
sample_639,21.0
sample_640,33.0
sample_641,1.0
sample_642,5.0
sample_643,9.0
sample_644,13.0
sample_645,4.0
sample_646,44.0
sample_647,34.0
sample_648,17.0
sample_649,33.0
sample_650,14.0
sample_651,27.0
sample_652,5.0
sample_653,9.0
sample_654,5.0
sample_655,44.0
sample_656,31.0
sample_657,23.0
sample_658,44.0
sample_659,37.0
sample_660,13.0
sample_661,19.0
sample_662,5.0
sample_663,12.0
sample_664,32.0
sample_665,28.0
sample_666,34.0
sample_667,12.0
sample_668,19.0
sample_669,1.0
sample_670,21.0
sample_671,21.0
sample_672,37.0
sample_673,5.0
sample_674,32.0
sample_675,4.0
sample_676,23.0
sample_677,34.0
sample_678,17.0
sample_679,10.0
sample_680,34.0
sample_681,34.0
sample_682,44.0
sample_683,33.0
sample_684,44.0
sample_685,12.0
sample_686,43.0
sample_687,34.0
sample_688,17.0
sample_689,24.0
sample_690,4.0
sample_691,13.0
sample_692,4.0
sample_693,23.0
sample_694,34.0
sample_695,19.0
sample_696,4.0
sample_697,27.0
sample_698,44.0
sample_699,6.0
sample_700,47.0
sample_701,36.0
sample_702,5.0
sample_703,23.0
sample_704,6.0
sample_705,4.0
sample_706,41.0
sample_707,4.0
sample_708,1.0
sample_709,39.0
sample_710,5.0
sample_711,6.0
sample_712,26.0
sample_713,5.0
sample_714,33.0
sample_715,36.0
sample_716,17.0
sample_717,44.0
sample_718,13.0
sample_719,36.0
sample_720,8.0
sample_721,17.0
sample_722,34.0
sample_723,44.0
sample_724,34.0
sample_725,34.0
sample_726,5.0
sample_727,36.0
sample_728,1.0
sample_729,17.0
sample_730,28.0
sample_731,17.0
sample_732,17.0
sample_733,34.0
sample_734,16.0
sample_735,18.0
sample_736,5.0
sample_737,1.0
sample_738,11.0
sample_739,14.0
sample_740,20.0
sample_741,17.0
sample_742,33.0
sample_743,24.0
sample_744,13.0
sample_745,20.0
sample_746,30.0
sample_747,34.0
sample_748,33.0
sample_749,36.0
sample_750,40.0
sample_751,15.0
sample_752,17.0
sample_753,17.0
sample_754,17.0
sample_755,17.0
sample_756,38.0
sample_757,23.0
sample_758,11.0
sample_759,18.0
sample_760,13.0
sample_761,47.0
sample_762,17.0
sample_763,4.0
sample_764,4.0
sample_765,34.0
sample_766,17.0
sample_767,44.0
sample_768,23.0
sample_769,12.0
sample_770,44.0
sample_771,5.0
sample_772,13.0
sample_773,39.0
sample_774,6.0
sample_775,9.0
sample_776,12.0
sample_777,19.0
sample_778,34.0
sample_779,13.0
sample_780,19.0
sample_781,23.0
sample_782,37.0
sample_783,17.0
sample_784,44.0
sample_785,5.0
sample_786,44.0
sample_787,13.0
sample_788,9.0
sample_789,6.0
sample_790,34.0
sample_791,13.0
sample_792,23.0
sample_793,16.0
sample_794,5.0
sample_795,34.0
sample_796,21.0
sample_797,17.0
sample_798,6.0
sample_799,23.0
sample_800,16.0
sample_801,8.0
sample_802,34.0
sample_803,17.0
sample_804,42.0
sample_805,14.0
sample_806,34.0
sample_807,6.0
sample_808,27.0
sample_809,39.0
sample_810,43.0
sample_811,34.0
sample_812,14.0
sample_813,37.0
sample_814,34.0
sample_815,37.0
sample_816,4.0
sample_817,44.0
sample_818,23.0
sample_819,13.0
sample_820,4.0
sample_821,44.0
sample_822,5.0
sample_823,17.0
sample_824,1.0
sample_825,42.0
sample_826,13.0
sample_827,16.0
sample_828,34.0
sample_829,34.0
sample_830,30.0
sample_831,30.0
sample_832,14.0
sample_833,1.0
sample_834,5.0
sample_835,18.0
sample_836,4.0
sample_837,23.0
sample_838,16.0
sample_839,33.0
sample_840,34.0
sample_841,5.0
sample_842,4.0
sample_843,34.0
sample_844,15.0
sample_845,44.0
sample_846,42.0
sample_847,30.0
sample_848,17.0
sample_849,28.0
sample_850,43.0
sample_851,4.0
sample_852,13.0
sample_853,23.0
sample_854,34.0
sample_855,39.0
sample_856,17.0
sample_857,12.0
sample_858,44.0
sample_859,34.0
sample_860,5.0
sample_861,4.0
sample_862,21.0
sample_863,17.0
sample_864,20.0
sample_865,33.0
sample_866,1.0
sample_867,17.0
sample_868,34.0
sample_869,5.0
sample_870,23.0
sample_871,41.0
sample_872,30.0
sample_873,6.0
sample_874,4.0
sample_875,17.0
sample_876,12.0
sample_877,15.0
sample_878,33.0
sample_879,21.0
sample_880,8.0
sample_881,17.0
sample_882,18.0
sample_883,8.0
sample_884,17.0
sample_885,16.0
sample_886,5.0
sample_887,21.0
sample_888,13.0
sample_889,13.0
sample_890,13.0
sample_891,17.0
sample_892,15.0
sample_893,24.0
sample_894,44.0
sample_895,30.0
sample_896,34.0
sample_897,0.0
sample_898,44.0
sample_899,17.0
sample_900,32.0
sample_901,47.0
sample_902,6.0
sample_903,18.0
sample_904,5.0
sample_905,17.0
sample_906,34.0
sample_907,14.0
sample_908,10.0
sample_909,34.0
sample_910,34.0
sample_911,40.0
sample_912,14.0
sample_913,11.0
sample_914,27.0
sample_915,34.0
sample_916,5.0
sample_917,36.0
sample_918,41.0
sample_919,2.0
sample_920,4.0
sample_921,5.0
sample_922,39.0
sample_923,17.0
sample_924,6.0
sample_925,21.0
sample_926,3.0
sample_927,34.0
sample_928,23.0
sample_929,31.0
sample_930,13.0
sample_931,4.0
sample_932,4.0
sample_933,34.0
sample_934,6.0
sample_935,5.0
sample_936,5.0
sample_937,16.0
sample_938,27.0
sample_939,34.0
sample_940,44.0
sample_941,5.0
sample_942,10.0
sample_943,23.0
sample_944,5.0
sample_945,16.0
sample_946,21.0
sample_947,16.0
sample_948,17.0
sample_949,5.0
sample_950,21.0
sample_951,14.0
sample_952,27.0
sample_953,36.0
sample_954,42.0
sample_955,5.0
sample_956,34.0
sample_957,4.0
sample_958,17.0
sample_959,32.0
sample_960,46.0
sample_961,18.0
sample_962,5.0
sample_963,0.0
sample_964,17.0
sample_965,44.0
sample_966,13.0
sample_967,12.0
sample_968,4.0
sample_969,8.0
sample_970,39.0
sample_971,24.0
sample_972,5.0
sample_973,13.0
sample_974,21.0
sample_975,23.0
sample_976,21.0
sample_977,5.0
sample_978,10.0
sample_979,5.0
sample_980,5.0
sample_981,10.0
sample_982,33.0
sample_983,44.0
sample_984,26.0
sample_985,5.0
sample_986,6.0
sample_987,17.0
sample_988,34.0
sample_989,43.0
sample_990,36.0
sample_991,5.0
sample_992,34.0
sample_993,23.0
sample_994,8.0
sample_995,44.0
sample_996,13.0
sample_997,17.0
sample_998,1.0
sample_999,10.0
sample_1000,4.0
